date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:32	28403/28403	---M-Z	200	added ('OK')	application/javascript	etag:%221b4139c-6ef3-52f21e0976e00%22	http://www.jeunes-democrates.org/sites/default/files/js/js_hKKRnYo17rm-eYHiJWJusGTp46fz-R_s4r4FZvwUdrk.js	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/sites/default/files/js/js_hKKRnYo17rm-eYHiJWJusGTp46fz-R_s4r4FZvwUdrk.js	(from http://www.jeunes-democrates.org/)
15:56:33	13308/13308	---M--	200	added ('OK')	image/png	etag:%221b41a6e-33fc-51ea5be32f140%22	http://www.jeunes-democrates.org/sites/default/files/logo-jdem-transparent-pochoir.png	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/sites/default/files/logo-jdem-transparent-pochoir.png	(from http://www.jeunes-democrates.org/)
15:56:35	31720/31720	---M-Z	200	added ('OK')	text/html	etag:%221463666713-0%22	http://www.jeunes-democrates.org/qui-sommes-nous	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/qui-sommes-nous.html	(from http://www.jeunes-democrates.org/)
15:56:35	28075/28075	---M-Z	200	added ('OK')	text/html	etag:%221463662553-0%22	http://www.jeunes-democrates.org/notre-equipe	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/notre-equipe.html	(from http://www.jeunes-democrates.org/)
15:56:35	33277/33277	---M-Z	200	added ('OK')	text/html	etag:%221463663848-0%22	http://www.jeunes-democrates.org/le-president	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/le-president.html	(from http://www.jeunes-democrates.org/)
15:56:39	76368/76368	---M-Z	200	added ('OK')	text/html	etag:%221463666716-0%22	http://www.jeunes-democrates.org/contenu/le-bureau-national	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/contenu/le-bureau-national.html	(from http://www.jeunes-democrates.org/)
15:56:39	26830/26830	---M-Z	200	added ('OK')	text/html	etag:%221463664067-0%22	http://www.jeunes-democrates.org/notre-fonctionnement	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/notre-fonctionnement.html	(from http://www.jeunes-democrates.org/)
15:56:40	57171/57171	---M-Z	200	added ('OK')	text/html	etag:%221463664832-0%22	http://www.jeunes-democrates.org/les-statuts	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/les-statuts.html	(from http://www.jeunes-democrates.org/)
15:56:40	54008/54008	---M-Z	200	added ('OK')	text/html	etag:%221463666225-0%22	http://www.jeunes-democrates.org/reglement-interieur	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/reglement-interieur.html	(from http://www.jeunes-democrates.org/)
15:56:44	30298/30298	---M-Z	200	added ('OK')	text/html	etag:%221463666721-0%22	http://www.jeunes-democrates.org/la-commission-d-arbitrage	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/la-commission-d-arbitrage.html	(from http://www.jeunes-democrates.org/)
15:56:46	419282/419282	---M-Z	200	added ('OK')	text/html	etag:%221463664758-0%22	http://www.jeunes-democrates.org/vos-contacts-locaux	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/vos-contacts-locaux.html	(from http://www.jeunes-democrates.org/)
15:56:48	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2019%20May%202016%2014:05:25%20GMT	http://www.jeunes-democrates.org/taxonomy/term/5	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/taxonomy/term/5	(from http://www.jeunes-democrates.org/)
